time,lane1,lane2,lane3,lane4,lane5,lane6,lane7
91.200,1,0,1,0,1,0,0
92.000,0,1,0,1,0,0,0
92.800,1,1,1,0,0,0,0
93.600,0,0,1,1,1,0,0
94.400,1,1,1,0,0,0,0
95.200,0,1,0,1,1,0,0
95.600,0,1,1,0,0,0,0
96.000,1,0,0,1,0,0,0
96.800,0,1,1,0,1,0,0
97.600,1,0,0,1,0,0,0
98.400,0,1,1,0,0,0,0
98.800,1,0,0,1,0,0,0
99.200,0,1,1,0,1,0,0
100.000,1,0,0,1,0,0,0
100.800,0,1,0,1,1,0,0
101.600,1,0,1,0,0,0,0
102.400,0,1,0,1,1,0,0
102.800,0,1,1,1,1,0,0
103.200,1,0,1,0,1,0,0
104.000,0,1,0,1,0,0,0
104.400,1,0,1,0,1,0,0
104.800,0,1,0,1,0,0,0
105.600,1,0,1,0,1,0,0
106.000,0,1,0,1,0,0,0
106.400,1,0,1,0,1,0,0
107.200,1,1,0,1,1,0,0
108.000,1,1,1,0,1,0,0
108.800,1,0,1,1,1,0,0
109.600,1,1,1,0,1,0,0
110.800,1,1,0,1,1,0,0
111.200,1,1,1,0,1,0,0
111.600,1,1,0,1,1,0,0
112.400,1,0,1,1,1,0,0
112.800,1,1,0,1,1,0,0
113.200,1,0,1,1,1,0,0
114.000,0,1,0,0,0,0,0
116.800,1,1,0,1,1,0,0
117.200,1,0,1,0,1,0,0
117.600,0,1,0,1,0,0,0
120.000,1,0,1,0,1,0,0
120.400,0,1,0,1,0,0,0
120.800,0,0,1,0,0,0,0
122.800,0,0,1,0,0,0,0
123.200,0,1,1,1,0,0,0
123.600,1,0,0,0,1,0,0
