time,lane1,lane2,lane3,lane4,lane5,lane6,lane7
57.538,0,1,0,0,0,0,0
57.846,0,0,0,1,0,0,0
58.462,0,0,1,0,0,0,0
58.769,0,1,1,1,0,0,0
59.077,1,0,0,0,1,0,0
59.385,0,1,1,1,0,0,0
60.923,1,0,0,0,1,0,0
62.154,0,1,0,1,0,0,0
63.385,1,0,1,0,1,0,0
63.692,0,1,0,1,0,0,0
64.308,1,0,1,0,1,0,0
64.615,0,1,0,1,0,0,0
64.923,1,0,1,0,1,0,0
65.231,0,1,0,1,0,0,0
65.538,1,0,1,0,1,0,0
66.154,0,1,0,1,0,0,0
66.462,1,0,1,0,1,0,0
66.769,0,1,0,1,0,0,0
67.077,1,0,1,0,1,0,0
67.385,0,1,0,1,0,0,0
67.692,1,0,1,0,1,0,0
70.154,0,1,0,1,0,0,0
70.769,0,0,1,0,0,0,0
71.385,0,1,0,1,0,0,0
72.000,1,0,1,0,1,0,0
72.615,0,1,0,1,0,0,0
73.231,0,0,1,0,0,0,0
74.462,0,1,0,1,0,0,0
75.692,1,0,1,0,1,0,0
76.923,0,1,0,1,0,0,0
78.769,1,0,1,0,1,0,0
80.000,0,1,0,1,0,0,0
80.615,1,0,1,0,1,0,0
81.231,0,1,0,1,0,0,0
81.846,0,0,1,0,0,0,0
82.462,0,1,0,1,0,0,0
83.077,1,0,1,0,1,0,0
83.692,0,1,0,1,0,0,0
84.308,1,0,1,0,1,0,0
84.923,0,1,0,1,0,0,0
85.538,1,0,1,0,1,0,0
86.154,0,1,0,1,0,0,0
86.769,0,0,1,0,0,0,0
88.615,0,1,0,1,0,0,0
89.231,1,0,1,0,1,0,0
89.846,0,1,0,1,0,0,0
90.462,0,0,1,0,0,0,0
91.077,0,1,0,1,0,0,0
91.692,1,0,1,0,1,0,0
92.308,0,1,0,1,0,0,0
94.154,1,0,1,0,1,0,0
94.769,1,1,0,1,1,0,0
95.385,1,1,1,0,0,0,0
96.000,0,0,0,1,1,0,0
96.615,0,0,1,1,1,0,0
98.462,1,1,0,0,0,0,0
98.769,1,1,1,0,0,0,0
99.077,1,1,1,1,0,0,0
99.692,0,0,0,0,1,0,0
100.000,0,0,0,1,1,0,0
100.308,0,0,1,1,1,0,0
100.615,0,1,1,1,1,0,0
103.385,1,0,0,0,0,0,0
103.692,1,1,0,0,0,0,0
104.000,1,1,1,0,0,0,0
104.308,1,1,1,1,0,0,0
105.231,0,0,0,0,1,0,0
105.538,0,0,0,1,1,0,0
105.846,0,0,1,1,1,0,0
106.154,0,1,1,1,1,0,0
106.462,1,0,0,0,0,0,0
106.769,1,1,0,0,0,0,0
107.077,1,1,1,0,0,0,0
108.308,0,1,0,1,0,0,0
108.615,1,0,1,0,1,0,0
108.923,0,1,0,1,0,0,0
109.231,1,0,1,0,1,0,0
109.538,0,1,0,1,0,0,0
109.846,1,0,1,0,1,0,0
112.308,0,1,0,1,0,0,0
112.923,1,0,1,0,1,0,0
113.231,0,1,1,1,0,0,0
113.538,1,0,1,0,1,0,0
113.846,1,1,0,1,1,0,0
114.154,0,0,1,0,0,0,0
114.769,0,1,0,1,0,0,0
115.385,1,0,1,0,1,0,0
116.000,0,1,0,1,0,0,0
116.615,0,0,1,0,0,0,0
117.231,0,1,0,1,0,0,0
117.538,1,0,1,0,1,0,0
117.846,0,1,0,1,0,0,0
118.154,0,0,1,0,0,0,0
120.538,1,0,0,0,0,0,0
